;Substance;code;primary_code;Lvl4;Lvl3;Lvl2;Lvl1;Class1;Class2;Class3;Class4
2154;lutetium (177lu) vipivotide tetraxetan;V10XX05;V10XX05;V10XX;V10X;V10;V;Various;Therapeutic radiopharmaceuticals;Other diagnostic radiopharmaceutical;Various therapeutic radiopharmaceuticals
1466;lutetium (177lu) dotatate;V10XX04;V10XX04;V10XX;V10X;V10;V;Various;Therapeutic radiopharmaceuticals;Other diagnostic radiopharmaceutical;Various therapeutic radiopharmaceuticals
994;radium-223 dichloride;V10XX03;V10XX03;V10XX;V10X;V10;V;Various;Therapeutic radiopharmaceuticals;Other diagnostic radiopharmaceutical;Various therapeutic radiopharmaceuticals
1582;ibritumomab tiuxetan;V10XX02;V10XX02;V10XX;V10X;V10;V;Various;Therapeutic radiopharmaceuticals;Other diagnostic radiopharmaceutical;Various therapeutic radiopharmaceuticals
2497;lutetium (lu 177);V10XX;V10XX;V10XX;V10X;V10;V;Various;Therapeutic radiopharmaceuticals;Other diagnostic radiopharmaceutical;Various therapeutic radiopharmaceuticals
2908;tositumomab;V10XA53;V10XA53;V10XA;V10X;V10;V;Various;Therapeutic radiopharmaceuticals;Other diagnostic radiopharmaceutical;Iodine (131I) compounds
3010;iobenguane (131 i);V10XA02;V09IX02;V10XA;V10X;V10;V;Various;Therapeutic radiopharmaceuticals;Other diagnostic radiopharmaceutical;Iodine (131I) compounds
3003;samarium (153 sm) lexidronam;V10BX02;V10BX02;V10BX;V10B;V10;V;Various;Therapeutic radiopharmaceuticals;Pain Palliation (bone seeking agents);Various pain palliation radiopharmaceuticals
2554;strontium (89 sr) chloride;V10BX01;V10BX01;V10BX;V10B;V10;V;Various;Therapeutic radiopharmaceuticals;Pain Palliation (bone seeking agents);Various pain palliation radiopharmaceuticals
809;gold (198 au);V10AX06;V10AX06;V10AX;V10A;V10;V;Various;Therapeutic radiopharmaceuticals;Antiinflammatory agents;Other antiinflammatory therapeutic radiopharmaceuticals
1808;phosphorus;V10AX01;V10AX01;V10AX;V10A;V10;V;Various;Therapeutic radiopharmaceuticals;Antiinflammatory agents;Other antiinflammatory therapeutic radiopharmaceuticals
6158;iodinated (131 i) human serum albumin;V09XA03;V09XA03;V09XA;V09X;V09;V;Various;Diagnostic radiopharmaceuticals;Other diagnostic radiopharmaceuticals;Iodine (131I) compounds
6669;iodine (131 i) norcholesterol;V09XA01;V09XA01;V09XA;V09X;V09;V;Various;Diagnostic radiopharmaceuticals;Other diagnostic radiopharmaceuticals;Iodine (131I) compounds
3667;fluciclovine (18f);V09IX12;V09IX12;V09IX;V09I;V09;V;Various;Diagnostic radiopharmaceuticals;Tumor detection;Other diagnostic radiopharmaceuticals for tumour detection
6129;gallium (68ga) edotreotide;V09IX09;V09IX09;V09IX;V09I;V09;V;Various;Diagnostic radiopharmaceuticals;Tumor detection;Other diagnostic radiopharmaceuticals for tumour detection
6116;fluorocholine (f18);V09IX07;V09IX07;V09IX;V09I;V09;V;Various;Diagnostic radiopharmaceuticals;Tumor detection;Other diagnostic radiopharmaceuticals for tumour detection
3040;fludeoxyglucose (18f);V09IX04;V09IX04;V09IX;V09I;V09;V;Various;Diagnostic radiopharmaceuticals;Tumor detection;Other diagnostic radiopharmaceuticals for tumour detection
3009;iobenguane (131 i);V09IX02;V09IX02;V09IX;V09I;V09;V;Various;Diagnostic radiopharmaceuticals;Tumor detection;Other diagnostic radiopharmaceuticals for tumour detection
3394;iobenguane (123 i);V09IX01;V09IX01;V09IX;V09I;V09;V;Various;Diagnostic radiopharmaceuticals;Tumor detection;Other diagnostic radiopharmaceuticals for tumour detection
2927;indium (111 in) pentetreotide;V09IB01;V09IB01;V09IB;V09I;V09;V;Various;Diagnostic radiopharmaceuticals;Tumor detection;Indium (111In) compounds
3082;technetium tc 99m tilmanocept;V09IA09;V09IA09;V09IA;V09I;V09;V;Various;Diagnostic radiopharmaceuticals;Tumor detection;Technetium (99mTc) compounds
5453;technetium-99m arcitumomab;V09IA06;V09IA06;V09IA;V09I;V09;V;Various;Diagnostic radiopharmaceuticals;Tumor detection;Technetium (99mTc) compounds
6302;technetium tc 99m depreotide;V09IA05;V09IA05;V09IA;V09I;V09;V;Various;Diagnostic radiopharmaceuticals;Tumor detection;Technetium (99mTc) compounds
4762;gallium (67 ga);V09HX01;V09HX01;V09HX;V09H;V09;V;Various;Diagnostic radiopharmaceuticals;Inflammation and infection detection;Other diagnostic radiopharmaceuticals for inflammation and infection detection
3414;ammonia;V09GX05;V09GX05;V09GX;V09G;V09;V;Various;Diagnostic radiopharmaceuticals;Cardiovascular system;Other cardiovascular system diagnostic radiopharmaceuticals
3058;rubidium;V09GX04;V09GX04;V09GX;V09G;V09;V;Various;Diagnostic radiopharmaceuticals;Cardiovascular system;Other cardiovascular system diagnostic radiopharmaceuticals
3656;thallium;V09GX01;V09GX01;V09GX;V09G;V09;V;Various;Diagnostic radiopharmaceuticals;Cardiovascular system;Other cardiovascular system diagnostic radiopharmaceuticals
5272;iodinated (125 i) human serum albumin;V09GB02;V09GB02;V09GB;V09G;V09;V;Various;Diagnostic radiopharmaceuticals;Cardiovascular system;Iodine (125I) compounds
4343;technetium tc 99m albumin;V09GA04;V09GA04;V09GA;V09G;V09;V;Various;Diagnostic radiopharmaceuticals;Cardiovascular system;Technetium (99mTc) compounds
6305;technetium tc 99m teboroxime;V09GA03;V09GA03;V09GA;V09G;V09;V;Various;Diagnostic radiopharmaceuticals;Cardiovascular system;Technetium (99mTc) compounds
2037;technetium tc 99m tetrofosmin;V09GA02;V09GA02;V09GA;V09G;V09;V;Various;Diagnostic radiopharmaceuticals;Cardiovascular system;Technetium (99mTc) compounds
2635;technetium (99m tc) sestamibi;V09GA01;V09GA01;V09GA;V09G;V09;V;Various;Diagnostic radiopharmaceuticals;Cardiovascular system;Technetium (99mTc) compounds
2878;technetium (99mtc) pertechnetate;V09FX01;V09FX01;V09FX;V09F;V09;V;Various;Diagnostic radiopharmaceuticals;Thyroid preparations;Various thyroid diagnostic radiopharmaceuticals
6680;krypton (81m kr);V09EX01;V09EX01;V09EX;V09E;V09;V;Various;Diagnostic radiopharmaceuticals;Respiratory system;Other respiratory system diagnostic radiopharmaceuticals
4617;macrosalb (99mtc);V09EB01;V09EB01;V09EB;V09E;V09;V;Various;Diagnostic radiopharmaceuticals;Respiratory system;Technetium (99mTc), particles for injection
5324;technetium tc 99m pentetate;V09EA01;V09CA01;V09EA;V09E;V09;V;Various;Diagnostic radiopharmaceuticals;Respiratory system;Technetium (99mTc), inhalants
5059;technetium tc 99m sulfur colloid;V09DB05;V09DB05;V09DB;V09D;V09;V;Various;Diagnostic radiopharmaceuticals;Hepatic and reticulo-endothelial system;Technetium (99mTc), particles and colloids
3401;technetium tc 99m mebrofenin;V09DA04;V09DA04;V09DA;V09D;V09;V;Various;Diagnostic radiopharmaceuticals;Hepatic and reticulo-endothelial system;Technetium (99mTc) compounds
6303;technetium tc 99m disofenin;V09DA01;V09DA01;V09DA;V09D;V09;V;Various;Diagnostic radiopharmaceuticals;Hepatic and reticulo-endothelial system;Technetium (99mTc) compounds
5173;technetium tc 99m gluceptate;V09CA04;V09CA04;V09CA;V09C;V09;V;Various;Diagnostic radiopharmaceuticals;Renal system;Technetium (99mTc) compounds, renal
3320;technetium tc 99m mertiatide;V09CA03;V09CA03;V09CA;V09C;V09;V;Various;Diagnostic radiopharmaceuticals;Renal system;Technetium (99mTc) compounds, renal
5323;technetium tc 99m pentetate;V09CA01;V09CA01;V09CA;V09C;V09;V;Various;Diagnostic radiopharmaceuticals;Renal system;Technetium (99mTc) compounds, renal
4109;technetium tc 99m pyrophosphate;V09BA03;V09BA03;V09BA;V09B;V09;V;Various;Diagnostic radiopharmaceuticals;Skeleton;Technetium (99mTc) compounds, skeletal
3621;technetium tc 99m medronate;V09BA02;V09BA02;V09BA;V09B;V09;V;Various;Diagnostic radiopharmaceuticals;Skeleton;Technetium (99mTc) compounds, skeletal
