"";"dose_freq";"dose_freq_st";"N"
"1";NA;NA;40015871
"2";"QD";"QD";5884363
"3";"BID";"BID";1950807
"4";"/wk";"QW";795223
"5";"QOW";"QOW";544170
"6";"TID";"TID";434484
"7";"/month";"QM";265197
"8";"Q12H";"BID";137749
"9";"Q3W";"Q3W";133215
"10";"QID";"QID";124633
"11";"1X";"1X";83957
"12";"BIW";"BIW";72638
"13";"QOD";"QOD";58316
"14";"TIW";"TIW";51129
"15";"Q8H";"TID";41925
"16";"/cycle";"QCycle";35489
"17";"QW";"QW";30376
"18";"Q6H";"QID";28184
"19";"Q4H";"Q4H";15928
"20";"/min";"Qmin";15817
"21";"/hr";"QH";13752
"22";"QM";"QM";12347
"23";"HS";"HS";9460
"24";"PRN";"PRN";5813
"25";"/yr";"QY";3514
"26";"Q2H";"Q2H";1749
"27";"UD";"QD";1596
"28";"Q3H";"Q3H";1393
"29";"X1";"1X";1252
"30";"QH";"QH";671
"31";"UNK";"unk";447
"32";"Q5H";"Q5H";224
"33";"QHS";"HS";221
"34";"Q2W";"Q2W";203
"35";"Q21D";"Q3W";191
"36";"QAM";"QAM";181
"37";"/sec";"Qsec";171
"38";"Q4W";"QM";105
"39";"Q28D";"QM";96
"40";"/trimester";"Q3M";94
"41";"1XQD";"QD";92
"42";"PO";"unk";60
"43";"X1QD";"QD";57
"44";"Q6M";"Q6M";53
"45";"Q24H";"QD";45
"46";"Q4-6H";"QID";40
"47";"Q3M";"Q3M";39
"48";"1QD";"QD";32
"49";"Q72H";"Q3D";28
"50";"Q14D";"Q2W";27
"51";"Q3D";"Q3D";26
"52";"AC";"AC";26
"53";"Q48H";"Q2D";23
"54";"1X QD";"QD";22
"55";"PC";"PC";20
"56";"2X";"2X";17
"57";"Q8W";"Q2M";17
"58";"QWK";"QW";17
"59";"Q12W";"Q3M";15
"60";"OTH";"unk";14
"61";"UID/QD";"QD";13
"62";" BID";NA;13
"63";"Q6W";"Q6W";13
"64";"Q7D";"QW";12
"65";"X2";"2X";12
"66";"Q2M";"Q2M";11
"67";"QYR";"QY";11
"68";"AM";"QAM";10
"69";" QD";NA;10
"70";"QMO";"QOM";9
"71";"SC";NA;9
"72";"QPM";"QOM";9
"73";"Q12HR";"Q12H";9
"74";"IM";"unk";9
"75";"1XQW";"QW";8
"76";"IV";NA;7
"77";"QY";"QY";6
"78";"1QW";"QW";6
"79";"X1QW";"QW";6
"80";"QHR";"QH";6
"81";"Q2D";"Q2D";6
"82";"Q4D";"Q4D";6
"83";"Q6HR";"QID";6
"84";"QMIN";"Qmin";6
"85";"Q10D";"Q10D";6
"86";"BID PRN";"PRN";5
"87";"X4QD";"QID";5
"88";"Q4HR";"Q4H";5
"89";"3XQD";"TID";5
"90";"PARN";"PRN";5
"91";"SQ";"unk";4
"92";"BIM";"Q2W";4
"93";"3X";NA;4
"94";"Q6H PRN";"PRN";4
"95";"2XQD";NA;4
"96";"DF";NA;4
"97";"Q7W";"Q7W";4
"98";"Q1H";"QH";4
"99";"IX";NA;4
"100";"BOD";"BOD";4
"101";"DAY";"QD";3
"102";"Q12D";NA;3
"103";"BW";NA;3
"104";"4XQD";NA;3
"105";"X1W";NA;3
"106";"1XW";NA;3
"107";"QID PRN";NA;3
"108";"QDAM";NA;3
"109";"Q4H PRN";NA;3
"110";"OD";NA;3
"111";"Q5W";NA;3
"112";"QO2W";NA;3
"113";"QOWK";NA;3
"114";"Q1MIN";NA;3
"115";"Q1MON";NA;3
"116";"QD X 21/28 DAYS";NA;2
"117";"OTHER";NA;2
"118";"Q36H";NA;2
"119";"Q10H";NA;2
"120";"1HS";NA;2
"121";"Q5Y";NA;2
"122";"B/W";NA;2
"123";"Q8HR";NA;2
"124";"X5";NA;2
"125";"Q24HR";NA;2
"126";"Q4WK";NA;2
"127";"QMTH";NA;2
"128";"D1/D8";NA;2
"129";"PM";NA;2
"130";"Q48";NA;2
"131";"OTO";NA;2
"132";"X1D";NA;2
"133";"Q8WK";NA;2
"134";"1XHS";NA;2
"135";"X3QD";NA;2
"136";"Q8HRS";NA;2
"137";"2XW";NA;2
"138";"X1QM";NA;2
"139";"X1QHS";NA;2
"140";"QMN";NA;2
"141";"QD PRN";NA;2
"142";"4X";NA;2
"143";"DQ";NA;2
"144";"1";NA;2
"145";"Q4HPRN";NA;2
"146";"Q5D";NA;2
"147";"OT";NA;2
"148";"1XQ3W";NA;2
"149";"BIID";NA;2
"150";"Q12";NA;2
